bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1006970042.00000000,508 WEST 26 STREET,146416,1927,WEST CHELSEA BUILDING LLC,,40.7497532,-74.0037499,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/697/42,True,MTGE,Mortgage,,1000000,,Document ID: FT_1780007286778,FT_1780007286778,PA,508 WEST 26 STREET
1006700070.00000000,231 11 AVENUE,217350,1913,BULGROUP COLORADO LLC,,40.7509333,-74.0064497,6,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/670/70,True,MTGE,Mortgage,,3510000,,Document ID: FT_1990004698899,FT_1990004698899,PA,231 11 AVENUE
1008560058.00000000,60 MADISON AVENUE,169360,1910,MADISON SIXTY OWNER LLC,,40.7432227,-73.9866294,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/856/58,True,MTGE,Mortgage,,9094520.56,,Document ID: FT_1970006210597,FT_1970006210597,PA,60 MADISON AVENUE
1008290068.00000000,44 WEST 28 STREET,141830,1911,"44 W. 28 PENN PLAZA PROPERTIES, LLC",,40.7455863,-73.9900249,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/829/68,True,MTGE,Mortgage,,2500000,,Document ID: FT_1940000016994,FT_1940000016994,PA,44 WEST 28 STREET
1008230024.00000000,19 WEST 21 STREET,113284,1908,FIFTH PARTNERS LLC,,40.7410302,-73.9917650,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/823/24,True,MTGE,Mortgage,,302832.54,,Document ID: FT_1930000390993,FT_1930000390993,PA,19 WEST 21 STREET
1008120019.00000000,135 WEST 36 STREET,108214,1925,HOWARD WAREHOUSE INC.,,40.7519073,-73.9883349,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/19,True,MTGE,Mortgage,,37600000,,Document ID: FT_1510006368851,FT_1510006368851,PA,135 WEST 36 STREET
1008120016.00000000,141 WEST 36 STREET,165000,1911,"BRAUSE, JACK",,40.7520144,-73.9885045,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/16,False,,Unknown,,,,,,,141 WEST 36 STREET
1007840060.00000000,224 WEST 35 STREET,143448,1924,PROFILE ENTERPRISES 2 LLC,,40.7519021,-73.9912945,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/60,True,MTGE,Mortgage,,2700000,,Document ID: FT_1590000265859,FT_1590000265859,PA,224 WEST 35 STREET
1007850029.00000000,213 WEST 35 STREET,163681,1921,"213 WEST 35TH ST. ASSOCIATES, L.P.",,40.7521353,-73.9906809,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/29,True,MTGE,Mortgage,,375906.01,,Document ID: FT_1910000328991,FT_1910000328991,PA,213 WEST 35 STREET
1008110056.00000000,142 WEST 36 STREET,101203,1922,"142 WEST 36TH STREET PROPERTY, INC.",,40.7516796,-73.9888366,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/56,True,MTGE,Mortgage,2019-05-30T00:00:00.000,48900000.00,2019000185977,CRFN: 2019000185977,2019060401303008,CR,142 WEST 36 STREET
